Publishing_Year,Author_Rating_Num,Average_Rating,Rating_Count,Gross_Sales_EUR,Publisher_Revenue_EUR,Adapted_to_Film,Genre_Adventure,Genre_Biography,Genre_Children’s,Genre_Classic,Genre_Dystopian,Genre_Fantasy,Genre_Fiction,Genre_Graphic Novel,Genre_Historical Fiction,Genre_Horror,Genre_Memoir,Genre_Mystery,Genre_Nonfiction,Genre_Philosophy,Genre_Politics,Genre_Romance,Genre_Satire,Genre_Science Fiction,Genre_Thriller,Genre_Young Adult
1982,2,3.82,116026,616.9,370.14,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1982,2,4.34,108338,2537.9,1522.74,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1982,2,4.12,157736,1157310.0,694386.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1982,2,4.34,105961,5000.45,3000.27,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1982,4,4.17,62432,815140.0,489084.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1983,2,3.72,151160,1766160.0,1059696.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1983,4,4.13,69616,334.88,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1983,4,4.27,85699,1867.8,1120.68,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1984,4,4.08,93774,1985630.0,1191378.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1984,2,3.57,81579,115.83,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1984,4,4.12,79508,234820.0,140892.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1984,4,4.29,91625,948.1,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1984,4,4.03,76219,992140.0,595284.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1984,4,4.24,48277,325.91,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1984,2,3.66,130219,1659.45,0.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1984,2,3.99,82281,950810.0,570486.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1984,4,4.17,69134,438.9,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1985,3,4.47,111498,1687.77,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1985,2,3.86,55678,573.85,0.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1985,2,4.29,168001,1035540.0,621324.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1985,2,4.05,141299,603.9,362.34,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1985,2,4.1,124876,1134.3,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1985,4,4.18,71095,725880.0,435528.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1985,4,4.04,102419,1182630.0,709578.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1985,2,3.93,82320,957720.0,574632.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1985,2,3.9,80075,784210.0,470526.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
